Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Change in
farm income
0:decreased
1:no change
2:increased ","Environment
reason for
increase
0:no
1:yes","Agri
reason for
increase
0:no
1:yes","Economic
reason for
increase
0:no
1:yes","Price Change/
Economic reason
for decrease
0:no
1:yes","Environment
reason for
decrease
0:no
1:yes ","Environment
constrain
0:no
1:yes",t8,r8,Fuel
1,4,67.188517,34.399903,3208.609619,1,0,1,1,0,0,1,30,0,0,0,0,0,1,1,14.033938,0.6611535,15000
1,4,67.127124,34.349923,3173.264404,1,0,1,0,0,1,1,42,0,0,0,0,1,1,1,14.48401675,0.5568785,40000
1,4,67.029534,34.404116,3195.539551,1,0,1,1,0,0,1,50,0,0,0,0,0,1,1,14.3681835,0.607898,12500
1,4,67.122253,34.348455,3173.264404,1,0,1,1,1,1,1,43,2,1,1,1,0,0,1,14.48401675,0.5568785,50000
1,4,67.158903,34.381352,3198.928955,1,1,0,1,1,1,1,45,0,0,0,0,0,1,1,14.2217335,0.63626,30000
1,4,67.033225,34.475412,3268.948242,0,0,1,1,0,1,1,42,0,0,0,0,0,1,1,13.97518325,0.70471275,5000
1,4,67.023343,34.399888,3194.324219,1,1,1,1,1,0,1,52,0,0,0,0,0,1,0,14.399812,0.610351,40000
1,4,67.127248,34.350075,3173.264404,1,0,1,1,0,1,1,25,0,0,0,0,0,1,1,14.48401675,0.5568785,16000
1,4,67.14343,34.374694,3190.596436,1,1,1,1,1,0,1,60,0,0,0,0,1,1,1,14.242061,0.58966675,25000
1,4,67.176325,34.382105,3199.28418,1,0,1,1,1,0,1,50,0,0,0,0,0,1,1,14.19897275,0.64281,15000
1,4,67.181109,34.374109,3199.533203,1,0,1,0,1,0,1,26,0,0,0,0,0,1,1,14.1777865,0.65030675,50000
1,4,67.053587,34.441462,3231.266846,1,1,1,0,0,1,1,18,0,0,0,0,0,1,1,14.12338825,0.650872,7500
1,4,67.178507,34.375937,3199.28418,1,1,1,1,0,1,1,60,2,1,1,1,0,0,1,14.19897275,0.64281,40000
1,4,67.18209,34.389777,3204.081787,1,1,1,1,0,0,1,32,0,0,0,0,1,1,1,14.1004435,0.65623475,15000
1,4,67.183732,34.393522,3204.081787,1,1,1,1,0,1,1,29,1,0,0,0,0,0,1,14.1004435,0.65623475,25000
1,4,66.998908,34.356102,3153.206543,1,1,0,1,0,1,1,40,1,0,0,0,0,0,0,14.79909125,0.53482025,0
1,4,67.01777,34.383763,3185.346436,0,0,1,0,0,1,1,52,0,0,0,0,0,1,1,14.477628,0.5935075,34500
1,4,67.01777,34.3837767,3185.346436,1,1,1,1,0,0,1,45,0,0,0,0,0,1,0,14.477628,0.5935075,40000
1,4,67.159426,34.381414,3198.928955,1,1,1,1,1,1,1,50,0,0,0,0,1,1,1,14.2217335,0.63626,35000
1,4,67.159137,34.381437,3198.928955,1,1,1,1,1,1,1,51,0,0,0,0,0,1,0,14.2217335,0.63626,20000
1,4,67.053877,34.44302,3231.266846,1,1,1,1,0,0,1,50,0,0,0,0,0,0,1,14.12338825,0.650872,5500
1,4,67.033808,34.476488,3268.948242,0,1,1,1,0,0,1,36,0,0,0,0,0,1,1,13.97518325,0.70471275,0
1,4,67.022003,34.397834,3194.324219,1,1,1,1,0,0,1,48,0,0,0,0,0,1,1,14.399812,0.610351,40000
1,4,67.183363,34.368203,3194.965332,1,0,1,0,0,1,1,30,0,0,0,0,1,1,1,14.26766925,0.64270425,100000
1,4,67.18378,34.395798,3208.609619,1,1,1,1,1,1,1,67,0,0,0,0,0,1,1,14.033938,0.6611535,20000
1,4,67.178583,34.376093,3199.28418,1,1,1,1,1,1,1,56,0,0,0,0,0,1,0,14.19897275,0.64281,10000
1,4,67.029296,34.36451,3167.105469,1,1,1,0,1,1,1,65,0,0,0,0,0,1,1,14.6458365,0.55757725,10000
1,4,67.178557,34.376295,3199.28418,1,0,1,1,1,1,1,25,0,0,0,0,0,1,1,14.19897275,0.64281,30000
